event_id,gmv_PGA,gmv_SA(0.3)
2,0.179,0.402
2,0.186,0.416
2,0.098,0.167
2,0.128,0.288
2,0.104,0.178
2,0.136,0.307
2,0.141,0.318
2,0.146,0.329
2,0.151,0.34
2,0.157,0.352
2,0.162,0.365
2,0.168,0.377
2,0.174,0.391
2,0.18,0.405
2,0.096,0.164
2,0.099,0.17
2,0.103,0.175
2,0.134,0.301
2,0.138,0.311
2,0.143,0.322
2,0.15,0.377
2,0.153,0.344
2,0.158,0.356
2,0.164,0.368
2,0.169,0.38
2,0.175,0.393
2,0.094,0.161
2,0.101,0.172
2,0.104,0.177
2,0.135,0.305
2,0.111,0.189
